b,g,r,pele
44,93,141,1
101,139,197,1
69,70,26,2
140,140,86,2
176,174,126,2
173,189,236,1
204,214,254,1
15,14,0,2
176,170,127,2
7,5,4,2
76,86,126,1
79,87,127,1
182,179,135,2
171,187,230,1
62,107,158,1
137,140,95,2
77,89,137,1
115,150,223,1
53,55,19,2
198,198,158,2
79,118,186,1
178,173,172,2
51,53,17,2
168,182,234,1
84,90,131,1
192,162,127,2
155,159,118,2
62,64,28,2
199,197,162,2
133,137,102,2
133,166,129,2
50,50,14,2
99,150,220,1
3,6,0,2
116,144,204,1
185,192,179,2
43,85,138,1
113,111,80,2
167,181,230,1
146,144,90,2
81,89,129,1
91,107,166,1
177,172,127,2
192,192,152,2
157,161,126,2
152,193,255,1
171,170,120,2
112,157,218,1
162,160,112,2
174,171,126,2
54,92,140,1
88,86,32,2
163,177,229,1
151,192,254,1
191,189,149,2
43,83,131,1
92,192,247,2
108,144,220,1
198,124,68,2
128,130,88,2
126,129,83,2
157,161,126,2
24,22,11,2
95,148,221,1
124,127,125,2
142,141,85,2
60,101,150,1
180,179,129,2
71,75,34,2
109,150,213,1
179,177,129,2
67,123,182,1
78,88,128,1
162,159,114,2
149,145,92,2
69,83,142,1
164,162,114,2
49,97,161,1
127,133,86,2
128,161,230,1
199,197,162,2
63,66,21,2
73,85,125,1
186,183,145,2
54,108,155,1
114,145,214,1
48,55,18,2
101,96,157,2
119,152,221,1
201,211,251,1
80,86,127,1
83,83,37,2
97,152,225,1
48,92,139,1
10,7,2,2
163,162,112,2
60,59,45,2
131,132,92,2
62,57,202,2
142,164,229,1
186,186,146,2
167,181,229,1
51,92,141,1
173,189,232,1
191,190,156,2
151,187,247,1
92,133,195,1
152,151,95,2
52,99,151,1
110,149,211,1
237,242,245,2
194,192,151,2
116,115,57,2
116,119,69,2
3,2,0,2
160,160,106,2
145,187,252,1
79,84,129,1
171,186,235,1
53,114,178,1
120,131,189,1
73,75,33,2
158,194,254,1
83,81,51,2
98,146,218,1
123,157,216,1
108,153,210,1
178,167,123,2
170,172,130,2
157,194,255,1
35,34,8,2
91,136,217,1
197,197,157,2
162,166,131,2
200,152,204,2
109,140,201,1
150,161,223,1
149,191,250,1
3,0,2,2
113,145,216,1
171,173,127,2
151,150,94,2
0,183,0,2
142,145,96,2
210,219,223,2
66,67,17,2
76,74,34,2
89,91,39,2
79,87,127,1
164,163,113,2
53,114,180,1
134,136,190,1
151,189,253,1
197,195,160,2
169,169,123,2
163,164,114,2
3,3,3,2
0,0,1,2
114,149,212,1
134,176,223,1
134,138,103,2
189,189,141,2
154,192,255,1
173,177,128,2
73,85,125,1
255,0,255,2
58,123,191,1
137,135,87,2
172,187,243,1
49,49,9,2
140,163,231,1
100,142,219,1
238,216,80,2
192,191,153,2
13,4,184,2
145,148,99,2
136,139,90,2
168,165,114,2
159,162,112,2
167,164,119,2
164,162,114,2
149,193,247,1
106,155,217,1
147,190,255,1
44,74,45,2
64,65,23,2
164,162,114,2
57,118,186,1
203,201,167,2
164,179,228,1
139,179,244,1
171,170,120,2
56,78,213,2
174,172,124,2
161,167,232,1
72,133,199,1
148,188,253,1
168,182,230,1
160,164,129,2
100,141,196,1
173,176,137,2
3,0,4,2
204,163,60,2
67,133,204,1
175,189,237,1
67,76,119,1
43,41,7,2
175,172,127,2
110,213,208,2
98,135,219,1
120,155,223,1
84,117,186,1
230,214,208,2
92,143,223,1
181,179,138,2
183,179,138,2
48,103,88,2
82,50,209,2
165,185,233,1
19,19,5,2
55,112,174,1
225,209,196,2
55,59,24,2
34,31,27,2
172,188,241,1
144,178,238,1
157,194,255,1
163,201,236,1
178,175,131,2
164,163,113,2
99,106,156,1
170,161,111,2
97,146,224,1
196,207,251,1
192,191,153,2
170,179,122,2
94,137,216,1
172,172,124,2
195,194,160,2
134,77,98,2
195,194,156,2
179,177,129,2
0,255,255,2
53,57,22,2
74,90,127,1
181,178,133,2
54,108,171,1
183,180,135,2
169,171,179,2
157,162,123,2
85,86,76,2
195,193,152,2
138,137,79,2
228,156,86,2
196,195,157,2
41,95,150,1
151,188,255,1
161,177,224,1
173,173,125,2
148,149,99,2
188,187,153,2
112,150,214,1
119,119,89,2
104,103,47,2
17,16,12,2
181,178,134,2
102,139,197,1
219,173,156,2
171,170,120,2
59,59,41,2
91,69,248,2
80,52,211,2
78,88,128,1
69,71,25,2
13,11,10,2
4,2,8,2
146,171,233,1
134,164,221,1
205,204,170,2
7,5,0,2
158,195,255,1
127,163,217,1
164,162,114,2
97,145,217,1
99,140,189,1
167,166,115,2
138,173,223,1
175,175,129,2
47,89,134,1
137,140,91,2
0,191,1,2
125,115,157,2
123,160,222,1
172,170,122,2
77,112,185,1
171,170,120,2
174,172,124,2
137,177,230,1
90,112,148,1
101,136,192,1
37,56,41,2
16,14,3,2
64,123,185,1
174,188,241,1
116,122,175,1
101,128,165,1
144,164,21,2
150,188,252,1
181,178,134,2
142,139,88,2
174,174,128,2
173,145,128,2
198,196,161,2
22,22,4,2
180,181,142,2
51,46,237,2
147,174,230,1
2,1,0,2
180,179,135,2
141,160,19,2
17,53,31,2
148,191,248,1
177,177,131,2
183,181,133,2
44,88,142,1
110,225,245,2
139,179,244,1
64,64,24,2
134,134,86,2
56,107,87,2
150,190,255,1
146,148,96,2
144,141,96,2
170,169,119,2
69,70,28,2
167,163,114,2
91,123,188,1
75,84,122,1
73,76,31,2
124,156,221,1
19,29,17,2
172,173,129,2
65,121,186,1
30,31,5,2
89,126,194,1
103,154,224,1
180,176,135,2
54,100,154,1
143,145,93,2
180,178,137,2
193,193,153,2
58,57,13,2
41,91,144,1
180,177,132,2
198,198,162,2
177,194,237,1
106,143,211,1
204,203,169,2
164,165,115,2
75,133,198,1
167,179,233,1
177,174,129,2
201,200,162,2
99,152,225,1
118,153,226,1
57,116,186,1
249,217,212,2
117,150,219,1
183,183,143,2
155,158,108,2
141,164,232,1
78,79,45,2
148,187,255,1
56,114,179,1
197,123,67,2
136,172,220,1
93,138,219,1
59,97,151,1
173,187,235,1
140,138,98,2
181,178,133,2
96,145,225,1
21,21,15,2
40,93,150,1
9,7,6,2
155,154,98,2
61,57,29,2
126,156,213,1
53,74,126,1
124,160,220,1
72,82,122,1
46,103,154,1
107,133,163,1
98,149,222,1
53,54,20,2
55,90,140,1
78,87,125,1
190,191,149,2
96,148,224,1
154,180,234,1
52,99,161,1
168,167,117,2
108,146,218,1
35,80,123,1
131,176,243,1
107,110,165,1
136,169,219,1
75,81,126,1
129,164,228,1
30,77,69,2
73,122,184,1
197,197,157,2
2,0,0,2
33,35,6,2
152,183,228,1
131,132,93,2
52,99,151,1
191,193,147,2
255,255,255,2
169,183,236,1
135,163,228,1
175,172,127,2
27,27,21,2
150,190,255,1
184,183,139,2
67,68,26,2
205,204,170,2
113,149,213,1
136,135,101,2
17,16,6,2
132,163,232,1
173,173,127,2
152,166,232,1
60,64,23,2
54,55,21,2
140,142,96,2
198,198,158,2
65,115,181,1
165,161,113,2
167,183,236,1
69,71,25,2
144,164,229,1
182,182,136,2
57,55,20,2
92,113,168,1
182,179,135,2
127,0,129,2
52,104,157,1
171,184,236,1
95,141,218,1
207,190,181,2
110,148,212,1
106,105,49,2
92,141,219,1
153,98,221,2
63,109,157,1
192,192,152,2
146,187,250,1
35,78,121,1
171,169,121,2
119,151,210,1
140,143,93,2
149,165,231,1
184,181,136,2
130,169,221,1
42,46,11,2
186,180,137,2
252,254,254,2
120,157,215,1
119,159,218,1
62,100,154,1
48,105,156,1
30,29,3,2
101,147,224,1
65,127,191,1
144,133,105,2
135,137,101,2
78,83,128,1
94,127,190,1
79,87,127,1
154,192,255,1
52,48,19,2
153,191,255,1
120,152,217,1
1,71,141,2
138,135,84,2
15,12,7,2
108,114,167,1
62,93,144,1
105,108,163,1
174,173,123,2
52,53,19,2
25,24,3,2
196,122,66,2
100,141,210,1
95,140,214,1
0,0,178,2
147,189,254,1
54,55,21,2
11,9,8,2
95,126,189,1
127,162,226,1
175,172,127,2
106,143,211,1
98,104,157,1
127,132,87,2
137,140,91,2
0,255,0,2
120,154,220,1
183,190,177,2
110,141,202,1
156,160,119,2
92,96,144,1
255,167,116,2
198,198,158,2
108,164,93,2
178,175,131,2
125,161,215,1
100,91,101,2
72,72,36,2
128,168,217,1
178,178,132,2
175,171,122,2
202,201,163,2
122,145,167,1
175,189,231,1
130,131,91,2
132,75,96,2
234,104,87,2
255,0,128,2
97,143,221,1
106,145,214,1
181,178,134,2
65,89,55,2
51,104,154,1
53,58,19,2
136,161,225,1
117,113,94,2
186,186,146,2
98,147,221,1
99,96,68,2
78,130,196,1
162,166,131,2
79,114,178,1
176,189,241,1
239,204,170,2
164,162,114,2
2,0,0,2
187,187,141,2
174,175,131,2
54,123,192,1
69,119,179,1
177,93,175,2
192,192,146,2
192,190,149,2
91,90,40,2
3,119,243,2
67,113,171,1
22,49,39,2
79,89,129,1
161,173,215,1
91,94,39,2
152,151,100,2
162,159,108,2
214,216,224,2
180,87,118,2
11,47,35,2
200,199,161,2
19,16,1,2
134,133,82,2
123,130,93,2
62,109,163,1
102,78,244,2
118,159,204,1
202,200,165,2
181,178,133,2
170,186,228,1
100,137,189,1
170,184,233,1
180,176,128,2
126,147,174,1
67,79,127,1
54,56,20,2
199,197,163,2
127,134,189,1
112,96,113,2
77,178,233,2
116,153,211,1
136,138,196,1
79,87,127,1
66,69,24,2
163,164,114,2
157,194,255,1
170,169,125,2
112,152,224,1
173,175,139,2
51,74,136,1
73,81,121,1
155,162,219,1
197,196,158,2
61,129,196,1
131,166,216,1
183,182,132,2
170,186,229,1
176,192,235,1
21,20,6,2
171,188,231,1
126,1,124,2
166,182,228,1
175,191,237,1
69,123,188,1
132,158,224,1
101,138,190,1
70,72,60,2
83,80,29,2
121,153,219,1
77,83,126,1
127,133,86,2
166,167,117,2
144,183,251,1
162,159,108,2
104,143,205,1
197,194,156,2
52,111,167,1
93,145,222,1
142,145,96,2
39,42,10,2
160,163,124,2
49,87,141,1
157,194,254,1
84,84,36,2
35,37,7,2
10,8,0,2
171,168,177,2
148,184,224,1
50,92,139,1
75,86,124,1
195,194,150,2
201,199,164,2
94,133,201,1
3,6,0,2
0,0,255,2
195,193,153,2
113,151,215,1
39,40,6,2
18,15,0,2
97,137,189,1
161,162,112,2
173,171,123,2
97,97,43,2
52,106,166,1
199,166,69,2
201,209,255,1
115,150,214,1
72,82,122,1
79,87,127,1
78,87,125,1
197,195,160,2
158,159,109,2
73,111,189,1
81,89,129,1
188,186,146,2
104,149,217,1
177,175,127,2
160,164,123,2
81,90,128,1
118,151,220,1
206,167,69,2
126,164,218,1
94,94,40,2
119,152,225,1
163,179,225,1
176,175,125,2
37,39,10,2
255,254,255,2
9,172,248,2
178,175,131,2
186,187,143,2
0,255,255,2
174,188,240,1
62,124,188,1
141,144,95,2
62,126,180,1
62,127,202,1
145,187,252,1
129,171,224,1
166,180,232,1
44,95,158,1
2,2,2,2
62,119,180,1
151,189,253,1
154,157,108,2
193,191,156,2
171,170,119,2
152,155,106,2
173,170,125,2
164,178,231,1
16,14,4,2
32,31,3,2
82,95,147,1
189,198,248,1
110,109,53,2
182,179,135,2
199,198,160,2
99,92,153,2
237,143,130,2
138,76,100,2
140,180,222,1
123,124,62,2
185,179,136,2
199,197,163,2
153,191,255,1
178,176,128,2
168,167,117,2
37,36,2,2
172,186,239,1
139,140,90,2
55,56,22,2
120,154,213,1
176,174,126,2
248,250,250,2
155,158,119,2
77,85,132,1
99,129,184,1
106,157,227,1
1,26,12,2
168,166,118,2
255,0,255,2
91,132,217,1
165,161,113,2
167,181,233,1
51,92,141,1
59,57,16,2
112,111,55,2
162,199,255,1
158,158,104,2
49,101,161,1
94,143,217,1
180,180,134,2
235,120,107,2
62,125,193,1
178,177,133,2
101,150,224,1
143,180,232,1
78,86,126,1
103,150,224,1
108,229,248,2
81,90,128,1
97,141,195,1
18,20,14,2
223,223,223,2
183,182,138,2
174,170,122,2
158,155,104,2
134,137,91,2
143,183,232,1
64,86,134,1
62,123,191,1
53,57,22,2
149,187,255,1
181,179,131,2
162,202,255,1
138,178,243,1
106,147,209,1
173,173,127,2
58,107,163,1
173,166,133,2
197,195,160,2
255,128,0,2
109,122,228,2
134,137,91,2
149,150,111,2
255,0,128,2
114,153,221,1
182,179,135,2
51,94,143,1
55,59,23,2
56,61,22,2
138,140,88,2
15,14,0,2
40,38,7,2
131,161,216,1
141,104,22,2
183,183,135,2
175,145,98,2
74,108,174,1
178,176,128,2
162,159,108,2
159,179,234,1
76,79,29,2
57,100,151,1
47,106,162,1
140,141,197,1
134,178,239,1
98,134,204,1
201,200,162,2
170,166,125,2
95,124,193,1
51,51,51,2
45,42,14,2
116,119,174,1
156,191,255,1
142,179,235,1
142,180,222,1
164,163,113,2
167,181,230,1
68,122,183,1
111,159,217,1
98,150,226,1
144,143,87,2
56,124,189,1
157,175,236,1
151,154,108,2
80,89,127,1
74,84,124,1
166,163,112,2
238,200,168,2
172,186,239,1
79,80,30,2
0,255,255,2
150,165,227,1
148,185,253,1
146,165,232,1
109,163,228,1
203,212,250,1
179,177,129,2
54,96,139,1
160,163,124,2
57,59,23,2
102,155,222,1
138,175,227,1
92,138,216,1
16,15,1,2
71,85,133,1
133,159,205,1
122,121,63,2
173,187,216,2
134,133,82,2
73,73,27,2
2,0,0,2
92,134,223,1
44,84,126,1
53,106,157,1
180,179,135,2
136,138,92,2
4,0,179,2
60,114,175,1
134,161,228,1
144,184,232,1
142,176,222,1
0,19,152,2
4,2,1,2
201,208,255,1
197,197,157,2
94,27,26,2
143,165,230,1
131,168,224,1
126,160,226,1
49,50,16,2
102,137,193,1
17,8,189,2
184,181,136,2
201,211,251,1
121,176,237,1
171,186,232,1
43,37,186,2
123,126,181,1
161,160,110,2
222,225,255,1
163,162,112,2
164,160,112,2
105,141,211,1
153,168,231,1
79,111,177,1
178,175,130,2
72,73,31,2
178,175,130,2
92,96,145,1
138,140,88,2
19,18,0,2
52,111,173,1
48,92,139,1
81,87,28,2
169,185,228,1
69,125,190,1
2,183,1,2
164,163,113,2
178,175,131,2
118,158,217,1
147,190,253,1
34,73,41,2
131,170,222,1
78,179,231,2
54,58,22,2
134,133,75,2
113,116,171,1
211,219,255,1
64,65,23,2
127,166,218,1
99,136,186,1
162,178,224,1
158,161,122,2
167,166,115,2
161,175,224,1
126,165,217,1
70,77,40,2
200,198,163,2
60,61,22,2
135,174,218,1
178,175,131,2
52,55,10,2
147,150,101,2
55,103,151,1
199,198,160,2
57,102,153,1
133,172,224,1
72,85,123,1
144,141,90,2
123,164,213,1
115,156,219,1
114,126,180,1
151,175,235,1
104,156,222,1
189,187,147,2
142,145,99,2
193,192,154,2
99,101,59,2
38,98,152,1
255,255,255,2
143,183,248,1
152,164,228,1
33,52,37,2
157,159,129,2
174,190,236,1
39,80,119,1
70,79,122,1
172,171,121,2
141,183,250,1
4,2,1,2
62,89,139,1
199,197,163,2
172,187,233,1
171,170,120,2
162,176,225,1
74,69,54,2
171,185,238,1
42,91,141,1
128,128,128,2
161,165,130,2
32,33,7,2
48,98,144,1
198,196,162,2
64,62,22,2
179,177,129,2
99,104,153,1
95,96,146,1
46,98,151,1
181,180,129,2
178,174,133,2
202,200,165,2
199,125,69,2
57,116,172,1
170,170,124,2
65,68,29,2
180,177,133,2
178,179,137,2
179,177,129,2
105,143,208,1
116,160,213,1
193,192,158,2
56,113,174,1
90,139,219,1
64,60,19,2
169,165,116,2
163,164,114,2
128,160,231,1
171,170,120,2
87,94,143,1
142,160,221,1
178,175,131,2
34,36,7,2
152,187,255,1
165,164,114,2
146,171,233,1
135,138,93,2
198,198,158,2
52,123,191,1
33,34,8,2
133,138,93,2
147,148,116,2
130,128,98,2
105,153,225,1
50,91,130,1
178,179,137,2
135,174,226,1
195,193,152,2
207,216,254,1
129,160,229,1
161,177,236,1
114,113,55,2
5,3,3,2
132,136,100,2
4,255,253,2
48,85,135,1
133,136,97,2
168,181,227,1
135,179,243,1
172,171,121,2
228,157,90,2
58,117,179,1
90,68,247,2
189,187,147,2
148,186,228,1
175,173,125,2
65,66,24,2
237,223,217,2
60,61,19,2
43,96,147,1
242,127,90,2
107,77,66,2
95,88,149,2
46,103,154,1
82,51,212,2
2,0,0,2
152,173,234,1
196,195,157,2
177,176,126,2
135,137,101,2
10,6,1,2
48,50,14,2
141,184,247,1
29,39,26,2
56,110,165,1
14,8,187,2
189,188,144,2
168,165,120,2
147,146,88,2
110,114,167,1
47,163,96,2
183,180,136,2
184,183,139,2
50,107,152,1
199,197,163,2
126,167,216,1
204,202,168,2
47,111,175,1
148,185,255,1
184,181,137,2
156,169,231,1
105,154,224,1
69,71,25,2
196,194,159,2
106,92,103,2
44,94,140,1
111,115,74,2
13,56,41,2
143,144,94,2
157,155,101,2
139,163,221,1
50,94,141,1
63,66,27,2
84,91,130,1
170,186,239,1
170,169,119,2
167,168,124,2
60,61,22,2
117,159,212,1
153,156,106,2
255,128,0,2
118,156,228,1
41,108,93,2
173,171,131,2
48,152,51,2
180,180,132,2
36,35,9,2
200,210,250,1
50,90,138,1
169,183,236,1
61,57,16,2
170,185,234,1
18,16,8,2
158,161,115,2
200,198,163,2
201,200,162,2
134,161,217,1
60,124,178,1
175,171,123,2
175,173,125,2
150,152,100,2
154,159,120,2
81,84,38,2
76,50,210,2
182,181,137,2
124,159,225,1
39,37,7,2
55,60,21,2
37,46,25,2
50,100,158,1
107,143,213,1
117,108,71,2
138,140,88,2
200,195,162,2
78,79,45,2
111,135,189,1
92,144,220,1
127,168,217,1
176,173,128,2
98,143,217,1
163,91,84,2
3,4,0,2
133,160,227,1
164,163,113,2
112,153,215,1
165,164,114,2
48,18,215,2
2,0,1,2
127,134,89,2
187,170,161,2
171,185,233,1
140,158,235,1
83,115,181,1
57,116,178,1
165,161,113,2
146,155,223,1
113,151,209,1
170,187,226,1
168,182,234,1
196,194,159,2
164,164,118,2
166,186,227,1
110,110,62,2
68,66,32,2
197,197,157,2
152,168,235,1
63,112,168,1
50,69,130,1
157,161,126,2
106,145,214,1
51,55,19,2
150,193,255,1
101,153,220,1
134,137,98,2
158,162,120,2
165,179,232,1
105,153,225,1
161,164,125,2
198,196,161,2
119,156,214,1
68,126,192,1
175,172,127,2
62,127,188,1
17,14,0,2
143,170,226,1
113,150,210,1
252,253,187,2
6,6,182,2
60,61,21,2
131,135,94,2
129,175,229,1
176,190,243,1
172,178,129,2
85,95,135,1
179,177,129,2
0,0,181,2
167,168,126,2
184,176,129,2
178,176,128,2
69,70,26,2
60,124,255,2
186,184,143,2
56,110,170,1
169,183,235,1
136,177,226,1
17,17,3,2
204,203,169,2
176,192,239,1
102,89,103,2
96,100,151,1
91,89,48,2
54,106,166,1
94,77,56,2
163,162,112,2
62,85,133,1
182,179,134,2
179,177,129,2
32,31,3,2
165,164,126,2
57,65,24,2
171,185,238,1
173,189,236,1
151,162,224,1
108,107,49,2
61,118,179,1
93,97,146,1
39,39,3,2
165,164,114,2
15,15,1,2
181,178,134,2
173,187,240,1
53,107,162,1
176,177,135,2
66,67,23,2
45,46,12,2
160,178,225,1
165,163,115,2
70,77,120,1
57,104,155,1
86,89,34,2
179,176,132,2
149,189,254,1
132,167,223,1
146,165,232,1
167,167,121,2
44,88,135,1
57,59,23,2
51,68,124,1
184,181,137,2
151,175,235,1
181,178,133,2
95,30,16,2
172,171,121,2
125,154,223,1
109,154,215,1
171,188,239,1
149,192,255,1
114,227,247,2
180,178,130,2
192,193,151,2
158,162,120,2
183,180,136,2
81,116,190,1
119,151,210,1
114,139,189,1
92,144,221,1
161,163,117,2
167,163,114,2
100,130,195,1
197,196,158,2
146,172,238,1
181,180,136,2
84,90,131,1
102,89,103,2
120,122,180,1
53,53,17,2
235,213,232,2
54,96,143,1
39,39,9,2
148,186,250,1
15,14,0,2
9,0,196,2
193,191,160,2
167,180,232,1
197,201,152,2
209,217,255,1
55,57,21,2
47,39,193,2
71,106,172,1
139,138,142,2
76,87,125,1
121,158,226,1
202,212,252,1
118,148,219,1
164,162,114,2
182,179,135,2
138,139,89,2
150,172,24,2
128,125,74,2
114,156,223,1
111,110,52,2
72,83,121,1
172,168,119,2
248,252,253,2
196,195,157,2
93,139,217,1
170,166,118,2
171,163,123,2
178,178,132,2
80,81,61,2
155,195,253,1
109,211,206,2
181,181,133,2
2,3,0,2
114,113,55,2
11,?,6,2
32,33,7,2
56,102,149,1
112,146,206,1
117,118,68,2
54,76,212,2
90,135,216,1
31,32,6,2
128,115,159,2
135,176,225,1
198,198,158,2
166,184,237,1
175,173,125,2
204,203,169,2
55,126,194,1
140,144,92,2
90,125,198,1
160,156,108,2
225,210,84,2
173,172,122,2
115,158,221,1
82,54,213,2
149,186,254,1
115,153,218,1
178,175,130,2
154,151,100,2
99,129,188,1
91,89,35,2
165,161,112,2
62,64,22,2
58,58,58,2
52,103,166,1
6,2,8,2
160,132,115,2
139,140,90,2
179,177,129,2
0,0,172,2
182,178,137,2
109,139,198,1
183,181,133,2
51,102,152,1
134,177,226,1
140,138,80,2
15,14,0,2
85,94,132,1
64,100,148,1
184,183,139,2
177,176,126,2
53,108,159,1
139,165,231,1
151,164,226,1
9,9,0,2
64,121,182,1
160,198,230,1
92,100,147,1
79,92,130,1
47,95,153,1
231,241,248,2
164,180,233,1
138,137,87,2
122,126,74,2
90,143,223,1
0,177,3,2
5,4,0,2
237,225,221,2
138,139,89,2
174,172,124,2
193,178,162,2
163,201,236,1
47,61,119,1
167,183,229,1
125,144,179,1
53,94,143,1
53,57,22,2
140,140,92,2
180,177,132,2
53,56,24,2
65,66,22,2
183,181,133,2
171,170,119,2
175,174,124,2
107,118,176,1
49,105,164,1
167,163,114,2
180,180,134,2
148,190,255,1
198,197,159,2
88,120,185,1
167,167,119,2
43,95,77,2
156,160,124,2
105,136,191,1
153,187,241,1
170,172,126,2
43,92,138,1
97,145,223,1
171,170,119,2
115,116,66,2
160,164,128,2
41,42,8,2
127,128,184,1
143,146,97,2
106,108,62,2
57,21,241,2
109,221,243,2
57,118,182,1
81,84,35,2
54,112,177,1
67,69,23,2
144,143,87,2
165,181,228,1
99,130,191,1
116,119,69,2
196,195,157,2
80,86,129,1
182,179,135,2
119,140,168,1
126,160,214,1
20,18,0,2
97,143,221,1
173,187,235,1
235,193,158,2
0,3,189,2
153,156,111,2
126,165,217,1
70,72,26,2
111,151,216,1
166,165,115,2
169,187,234,1
202,200,165,2
119,152,215,1
122,163,218,1
118,152,222,1
91,138,220,1
202,211,254,1
157,161,125,2
152,41,149,2
117,154,212,1
160,161,121,2
91,143,219,1
23,19,0,2
142,178,226,1
36,35,7,2
62,50,204,2
124,131,88,2
164,163,113,2
95,139,216,1
119,157,221,1
73,74,30,2
61,61,21,2
100,95,156,2
143,183,248,1
6,8,0,2
137,174,226,1
120,161,224,1
182,179,135,2
123,126,181,1
111,228,249,2
139,163,229,1
178,175,130,2
94,100,153,1
122,160,214,1
54,115,181,1
176,174,133,2
75,78,29,2
64,69,24,2
143,185,252,1
100,137,205,1
139,140,90,2
185,183,142,2
100,148,220,1
181,178,134,2
128,161,217,1
76,125,193,1
92,136,219,1
49,105,152,1
128,160,226,1
179,178,134,2
160,180,235,1
167,163,114,2
80,85,130,1
100,137,199,1
168,182,234,1
63,120,181,1
224,69,48,2
201,213,253,1
157,160,115,2
78,119,198,1
197,195,160,2
157,168,248,2
63,125,189,1
174,174,128,2
95,143,221,1
96,149,222,1
158,195,255,1
60,67,24,2
114,120,173,1
168,184,237,1
82,82,34,2
179,178,134,2
92,140,204,1
143,140,195,1
67,76,120,1
194,194,154,2
157,194,254,1
98,116,169,1
142,184,251,1
94,144,220,1
28,28,4,2
0,29,133,2
1,1,1,2
74,77,32,2
98,146,218,1
108,146,211,1
89,97,150,1
178,177,133,2
97,147,219,1
130,154,220,1
143,144,94,2
130,163,219,1
42,95,152,1
178,175,130,2
170,171,127,2
164,162,114,2
64,62,21,2
120,143,165,1
157,194,255,1
202,212,252,1
207,190,181,2
68,69,25,2
31,31,7,2
167,185,232,1
120,161,224,1
68,69,27,2
91,137,221,1
58,118,184,1
143,140,89,2
50,101,164,1
15,15,0,2
66,67,23,2
36,35,7,2
82,95,133,1
59,100,149,1
74,77,28,2
197,196,158,2
45,96,146,1
43,46,30,2
139,141,89,2
103,220,241,2
164,162,114,2
60,120,190,1
155,196,255,1
177,176,132,2
166,187,249,1
61,61,21,2
63,124,186,1
114,151,219,1
15,14,0,2
128,163,213,1
91,69,248,2
52,94,141,1
47,85,139,1
55,92,150,1
47,104,156,1
59,62,17,2
201,200,162,2
60,64,23,2
76,52,214,2
104,150,227,1
152,190,254,1
57,59,23,2
134,134,188,1
117,112,73,2
180,181,139,2
25,35,19,2
56,103,154,1
166,180,232,1
177,172,127,2
169,185,238,1
111,152,207,1
55,112,174,1
46,51,30,2
88,136,208,1
57,104,156,1
9,11,0,2
75,112,194,1
64,67,28,2
54,55,21,2
182,177,138,2
98,136,224,1
113,117,170,1
142,144,92,2
62,65,26,2
111,114,65,2
100,101,45,2
136,156,221,1
33,119,89,2
83,34,12,2
122,155,224,1
68,69,25,2
175,172,127,2
137,176,245,1
48,101,164,1
99,138,193,1
228,203,199,2
75,82,125,1
1,0,161,2
174,170,121,2
102,101,103,2
164,162,114,2
56,110,165,1
56,57,17,2
119,78,170,2
86,84,30,2
110,127,184,1
114,113,55,2
242,186,185,2
164,163,112,2
104,142,200,1
138,157,18,2
55,100,151,1
102,106,159,1
152,172,23,2
172,187,233,1
48,92,139,1
169,177,236,1
100,101,59,2
212,169,214,2
117,152,216,1
48,108,162,1
153,194,255,1
126,129,184,1
39,96,148,1
130,131,187,1
115,74,72,2
174,169,124,2
48,101,151,1
56,101,152,1
99,133,192,1
17,8,189,2
38,40,4,2
162,164,122,2
185,183,135,2
52,115,255,2
201,199,164,2
125,158,227,1
145,146,96,2
104,142,200,1
98,137,192,1
175,186,255,2
171,170,120,2
175,173,125,2
168,182,235,1
75,128,191,1
173,172,122,2
158,175,231,1
135,182,244,1
205,204,170,2
99,114,176,1
145,144,88,2
15,14,0,2
57,104,155,1
155,193,225,1
145,173,220,1
199,199,163,2
48,89,138,1
202,200,160,2
114,155,210,1
171,170,126,2
62,76,134,1
52,119,180,1
167,160,133,2
178,176,128,2
180,178,130,2
0,140,107,2
11,12,2,2
125,129,93,2
51,51,51,2
101,137,123,2
96,139,202,1
200,198,163,2
79,30,4,2
108,138,167,1
102,149,223,1
150,188,252,1
173,174,130,2
71,73,27,2
51,101,159,1
88,96,149,1
75,76,32,2
200,210,250,1
143,180,248,1
250,251,249,2
156,191,241,1
90,190,245,2
54,114,180,1
89,118,139,1
201,200,162,2
163,163,115,2
127,153,219,1
149,166,217,1
190,189,145,2
174,172,124,2
2,3,1,2
157,175,222,1
127,129,183,1
164,164,118,2
117,150,213,1
123,163,222,1
151,172,233,1
84,85,35,2
197,207,254,1
55,59,18,2
103,140,198,1
181,175,132,2
98,245,225,2
52,57,18,2
75,78,39,2
52,109,171,1
46,93,147,1
205,203,173,2
89,122,191,1
179,176,131,2
181,178,133,2
175,172,127,2
172,185,229,1
159,179,236,1
132,135,86,2
155,192,254,1
56,108,168,1
146,64,52,2
109,115,168,1
142,145,99,2
156,159,109,2
112,152,210,1
107,108,99,2
172,170,122,2
190,189,151,2
187,184,146,2
53,56,24,2
179,192,238,1
201,218,214,2
110,153,210,1
114,113,55,2
113,68,11,2
205,204,170,2
76,79,34,2
240,123,96,2
182,179,135,2
195,193,162,2
130,71,92,2
174,172,124,2
94,143,217,1
165,161,112,2
136,140,98,2
148,186,250,1
92,131,199,1
181,182,142,2
167,166,115,2
90,92,63,2
59,56,42,2
146,187,250,1
165,164,114,2
85,99,148,1
74,75,31,2
